Geothite_avg - Data, Corrected, Resampled on common wavenumber scale

nushift=     -3.10000  cm-1
FWHM_resolution:      10.0000  cm-1
H2O_Vol_mixing_ratio:   0.00790000

     Wvnmbr     Wvl(um)    SpecData    H2O_Model    NulledSpec     IG_Nulled     Ratio
    2761.000   3.62188    2.1406e-04    1.0000e+00    2.1406e-04    5.5674e-03    3.8449e-02
    2762.000   3.62056    2.1367e-04    1.0000e+00    2.1367e-04    5.5721e-03    3.8346e-02
    2763.000   3.61925    2.1374e-04    1.0000e+00    2.1374e-04    5.5772e-03    3.8324e-02
    2764.000   3.61794    2.1351e-04    1.0000e+00    2.1351e-04    5.5827e-03    3.8244e-02
    2765.000   3.61664    2.1325e-04    1.0000e+00    2.1325e-04    5.5885e-03    3.8158e-02
    2766.000   3.61533    2.1321e-04    1.0000e+00    2.1321e-04    5.5954e-03    3.8105e-02
    2767.000   3.61402    2.1321e-04    1.0000e+00    2.1321e-04    5.6011e-03    3.8065e-02
    2768.000   3.61272    2.1321e-04    1.0000e+00    2.1321e-04    5.6065e-03    3.8029e-02
    2769.000   3.61141    2.1269e-04    1.0000e+00    2.1269e-04    5.6104e-03    3.7910e-02
    2770.000   3.61011    2.1222e-04    1.0000e+00    2.1222e-04    5.6146e-03    3.7799e-02
    2771.000   3.60881    2.1132e-04    1.0000e+00    2.1132e-04    5.6185e-03    3.7611e-02
    2772.000   3.60750    2.1044e-04    1.0000e+00    2.1044e-04    5.6228e-03    3.7427e-02
    2773.000   3.60620    2.0996e-04    1.0000e+00    2.0996e-04    5.6276e-03    3.7310e-02
    2774.000   3.60490    2.0776e-04    1.0000e+00    2.0776e-04    5.6315e-03    3.6893e-02
    2775.000   3.60360    2.0655e-04    1.0000e+00    2.0655e-04    5.6349e-03    3.6655e-02
    2776.000   3.60231    2.0554e-04    1.0000e+00    2.0554e-04    5.6369e-03    3.6464e-02
    2777.000   3.60101    2.0513e-04    1.0000e+00    2.0513e-04    5.6400e-03    3.6370e-02
    2778.000   3.59971    2.0566e-04    1.0000e+00    2.0566e-04    5.6436e-03    3.6441e-02
    2779.000   3.59842    2.0660e-04    1.0000e+00    2.0660e-04    5.6470e-03    3.6585e-02
    2780.000   3.59712    2.0788e-04    1.0000e+00    2.0788e-04    5.6509e-03    3.6786e-02
    2781.000   3.59583    2.1010e-04    1.0000e+00    2.1010e-04    5.6547e-03    3.7155e-02
    2782.000   3.59454    2.1038e-04    1.0000e+00    2.1038e-04    5.6583e-03    3.7180e-02
    2783.000   3.59324    2.0954e-04    1.0000e+00    2.0954e-04    5.6622e-03    3.7007e-02
    2784.000   3.59195    2.0751e-04    1.0000e+00    2.0751e-04    5.6652e-03    3.6629e-02
    2785.000   3.59066    2.0366e-04    1.0000e+00    2.0366e-04    5.6675e-03    3.5935e-02
    2786.000   3.58938    2.0295e-04    1.0000e+00    2.0295e-04    5.6698e-03    3.5795e-02
    2787.000   3.58809    2.0361e-04    1.0000e+00    2.0361e-04    5.6728e-03    3.5893e-02
    2788.000   3.58680    2.0781e-04    1.0000e+00    2.0781e-04    5.6764e-03    3.6609e-02
    2789.000   3.58551    2.0874e-04    1.0000e+00    2.0874e-04    5.6795e-03    3.6753e-02
    2790.000   3.58423    2.0867e-04    1.0000e+00    2.0867e-04    5.6827e-03    3.6720e-02
    2791.000   3.58295    2.0846e-04    1.0000e+00    2.0846e-04    5.6851e-03    3.6668e-02
    2792.000   3.58166    2.0828e-04    1.0000e+00    2.0828e-04    5.6886e-03    3.6613e-02
    2793.000   3.58038    2.0850e-04    1.0000e+00    2.0850e-04    5.6934e-03    3.6621e-02
